KIC,Seismic_Age_Gyr,Pred_Age_A_Gyr,Pred_Age_B_Gyr,Difference_B_minus_A
11403437,12.3847,9.203126283705235,9.911846534746886,0.708720251041651
11403541,4.385,1.9199293158084154,1.9767280043035744,0.05679868849515901
11403918,5.4317,5.602169536721706,5.875329381972551,0.273159845250845
11404916,7.3456,5.198682663738728,5.913728009885549,0.7150453461468214
11404925,0.9791,3.0285243493974208,1.884916669848561,-1.1436076795488597
11408237,5.9369,5.252758542597293,5.689758198702335,0.43699965610504155
11408704,5.6681,5.184697809529304,5.445878362011909,0.26118055248260497
11409529,22.5509,9.877474479967356,9.030485772126912,-0.8469887078404437
11409562,11.6597,9.144448012739419,9.738208293491601,0.593760280752182
11409827,6.3017,5.871228528785705,5.450738060224056,-0.42049046856164907
11410478,5.4586,6.666913489359617,8.224559077793359,1.5576455884337417
11410549,4.8475,4.5985693585813046,4.358398176395893,-0.24017118218541178
11410622,3.5513,4.176701440709829,4.343925153675675,0.16722371296584626
11410886,9.561,8.670401031452418,8.973908141070604,0.3035071096181863
11410978,3.0455,3.3251180658876893,3.747182380220294,0.4220643143326046
11411163,4.2943,2.4845473032191396,2.8463525184899567,0.3618052152708171
11412082,10.5813,9.066233493494988,10.205746559381485,1.1395130658864971
11412190,4.0629,4.670481066736579,4.881249232593179,0.2107681658566003
11412860,10.8862,10.623477375400066,9.922424608588218,-0.7010527668118485
11413138,3.9028999999999994,6.377407872682809,6.591340368813276,0.21393249613046628
11413158,9.776,9.838393069803715,8.882090864211321,-0.9563022055923938
11413393,3.6233,4.264753610223532,4.840895553675294,0.5761419434517618
11414438,1.6830999999999998,3.193239773520827,3.402410323989391,0.20917055046856392
11414700,4.4337,3.811877632629871,3.9971335713535545,0.1852559387236834
11414707,3.8127,2.6101975102305413,3.040314376589656,0.4301168663591146
11415061,12.6317,10.496383609831332,9.93797766328454,-0.5584059465467917
11415370,3.5615,4.434895637926459,4.432090228870511,-0.0028054090559486156
11415780,3.2163,3.9049422201454638,3.397747913599014,-0.5071943065464497
11415994,5.9138,4.9920563536584375,5.721863820493221,0.7298074668347834
11441797,0.4681,1.1839156019538641,1.4638370119035244,0.2799214099496603
11442227,12.2183,10.18482691938877,9.726439956074953,-0.4583869633138171
11443139,1.1516,1.7776446850836276,1.7229805082023144,-0.0546641768813132
11443382,4.1562,4.022622028869391,4.127068400403857,0.10444637153446656
11444313,1.9368,2.202708576531708,2.276624509087205,0.07391593255549678
11444844,3.0622,6.224175847691297,8.072175628131628,1.8479997804403308
11445495,0.793,2.2967382105007768,2.4701204826921224,0.1733822721913456
11445818,6.964700000000001,9.925470685017109,10.058948969733715,0.13347828471660605
11446151,5.058200000000001,4.606779384320975,4.829932709157466,0.22315332483649186
11446280,5.7695,4.037595402029156,4.1729226658344265,0.13532726380527027
11446691,5.9995,5.267007239556312,6.936427669590711,1.6694204300343989
11447802,11.4955,9.099058740442992,9.533977960813045,0.4349192203700536
11450315,15.9829,10.756373304498196,10.196916146636008,-0.5594571578621874
11453225,2.9755000000000003,3.5615366197764873,4.533762686091661,0.9722260663151738
11453627,11.5281,9.322989331758022,10.2468751278162,0.9238857960581779
11453630,6.7825,6.373836487716436,6.297837891024351,-0.07599859669208531
11453721,1.5421,4.507545392692089,4.770904727700352,0.26335933500826325
11453905,4.4971,4.240973296815157,4.010129015251994,-0.2308442815631624
11453969,11.1956,6.238064434951544,6.599377470588684,0.36131303563714035
11455176,3.9663,3.4580841153562067,3.327847709289193,-0.1302364060670138
11455243,9.2831,8.883414831882714,8.89146441270709,0.00804958082437679
11455925,8.0333,8.478393035876751,8.916783808821439,0.43839077294468787
11456172,3.9555,4.126286677122116,4.675765052613616,0.5494783754914998
11456246,5.2023,7.188531793791055,6.429285656201839,-0.7592461375892166
11456449,8.3481,5.882341419011354,5.483465257501602,-0.3988761615097518
11456735,1.5298,2.9088380878716706,3.450058304148912,0.5412202162772415
11456927,12.1609,12.523839245307444,10.497371237421035,-2.0264680078864092
11457478,5.7802,5.4394724502086635,5.939522798341512,0.5000503481328487
11457554,6.5061,13.851926191341876,13.068714931571483,-0.7832112597703933
11457734,7.3039,5.382800334924459,5.822588167113065,0.43978783218860595
11460287,8.2174,5.4331764728844165,5.936677575176954,0.5035011022925371
11460647,8.3221,6.253741091656685,7.761273790639638,1.5075326989829536
11461138,1.8698,3.7091358397603034,5.20328208464384,1.4941462448835368
11461608,29.057,8.352548957926034,9.229609202575682,0.8770602446496483
11462100,5.0181,5.266738048642874,5.7674260167539115,0.5006879681110377
11462235,5.5761,6.222873272675275,8.082471437770128,1.8595981650948525
11462610,2.9737,4.92321835411191,4.4006326262652875,-0.5225857278466224
11462629,3.2169,2.506606844910979,2.4594000882685183,-0.04720675664246077
11462723,4.0146,3.2793972074329854,3.1881587207496165,-0.09123848668336887
11462972,4.5309,2.486169133904576,2.8959989292055366,0.4098297953009604
11463411,6.8024,7.499658254164457,8.700238437533379,1.2005801833689222
11463450,4.4953,3.8287451471507548,3.984788820722699,0.15604367357194437
11463560,6.7223,5.723125987160206,6.335535909473895,0.6124099223136898
11463603,6.3312,5.079028194075822,5.462099342948198,0.3830711488723759
11463988,8.4063,9.539087834244967,9.920183727937937,0.3810958936929705
11465010,2.8344,7.826119682997465,6.614238829427957,-1.2118808535695083
11465042,0.45940000000000003,1.0932744754597543,1.3635969712316989,0.27032249577194456
11465443,5.2579,10.474005703830718,9.340213390535116,-1.1337923132956025
11465784,2.9605,2.0392721063673496,2.1232038127601145,0.08393170639276493
